567862,missing customer ID
567861,missing customer ID
567863,missing customer ID
560717,missing customer ID
560591,missing customer ID
560573,missing customer ID
560658,missing customer ID
560755,missing customer ID
560575,missing customer ID
560737,missing customer ID
560719,missing customer ID
560722,missing customer ID
560583,missing customer ID
560565,missing customer ID
560730,missing customer ID
560600,missing customer ID
560567,missing customer ID
560578,missing customer ID
560867,missing customer ID
560779,missing customer ID
560775,missing customer ID
560830,missing customer ID
560889,missing customer ID
560900,missing customer ID
560819,missing customer ID
C560823,missing customer ID
560778,missing customer ID
560773,missing customer ID
560777,missing customer ID
560780,missing customer ID
560865,missing customer ID
560890,missing customer ID
C560822,missing customer ID
560857,missing customer ID
C560825,missing customer ID
560923,missing customer ID
560831,missing customer ID
560772,missing customer ID
561000,missing customer ID
560939,missing customer ID
560993,missing customer ID
561080,missing customer ID
560986,missing customer ID
560940,missing customer ID
560999,missing customer ID
560926,missing customer ID
561086,missing customer ID
560995,missing customer ID
560941,missing customer ID
560938,missing customer ID
561255,missing customer ID
561251,missing customer ID
561218,missing customer ID
561214,missing customer ID
561108,missing customer ID
561243,missing customer ID
561254,missing customer ID
561250,missing customer ID
561327,missing customer ID
561091,missing customer ID
561282,missing customer ID
561271,missing customer ID
561110,missing customer ID
561103,missing customer ID
561253,missing customer ID
561323,missing customer ID
561217,missing customer ID
561107,missing customer ID
561090,missing customer ID
561333,missing customer ID
561209,missing customer ID
C561239,missing customer ID
561256,missing customer ID
561249,missing customer ID
561245,missing customer ID
561252,missing customer ID
561326,missing customer ID
561499,missing customer ID
561477,missing customer ID
561484,missing customer ID
561495,missing customer ID
561503,missing customer ID
561480,missing customer ID
561367,missing customer ID
561543,missing customer ID
561565,missing customer ID
561392,missing customer ID
561525,missing customer ID
561536,missing customer ID
561491,missing customer ID
561496,missing customer ID
561555,missing customer ID
561492,missing customer ID
561540,missing customer ID
561504,missing customer ID
561481,missing customer ID
561526,missing customer ID
561371,missing customer ID
561515,missing customer ID
561478,missing customer ID
561364,missing customer ID
561500,missing customer ID
561489,missing customer ID
561354,missing customer ID
561541,missing customer ID
561475,missing customer ID
561497,missing customer ID
561486,missing customer ID
561527,missing customer ID
561509,missing customer ID
561516,missing customer ID
561538,missing customer ID
561361,missing customer ID
561372,missing customer ID
561369,missing customer ID
561501,missing customer ID
561505,missing customer ID
561479,missing customer ID
561493,missing customer ID
561482,missing customer ID
561523,missing customer ID
561365,missing customer ID
561553,missing customer ID
561539,missing customer ID
561490,missing customer ID
561557,missing customer ID
561513,missing customer ID
561609,missing customer ID
561487,missing customer ID
561362,missing customer ID
561483,missing customer ID
561506,missing customer ID
561524,missing customer ID
561494,missing customer ID
561498,missing customer ID
561476,missing customer ID
561651,missing customer ID
561691,missing customer ID
561820,missing customer ID
561666,missing customer ID
561673,missing customer ID
